BoardNumber	Depth	VDP	Board	Shift
6  0.11  41.49  A6  A
7  0.11  45.79  A7  A
8  0.11  46.52  A8  A
9  0.11  44.57  A9  A
1  0.112  47.91  A1  A
2  0.112  45.67  A2  A
3  0.112  51.05  A3  A
4  0.112  48.02  A4  A
5  0.112  45.48  A5  A
6  0.112  41.43  A6  A
7  0.112  45.79  A7  A
8  0.112  46.86  A8  A
9  0.112  44.76  A9  A
1  0.114  47.7  A1  A
2  0.114  45.47  A2  A
3  0.114  50.09  A3  A
4  0.114  48.09  A4  A
5  0.114  45.22  A5  A
6  0.114  41.49  A6  A
7  0.114  45.45  A7  A
8  0.114  46.59  A8  A
9  0.114  44.76  A9  A
1  0.116  47.7  A1  A
2  0.116  45.41  A2  A
3  0.116  49.44  A3  A
4  0.116  47.67  A4  A
5  0.116  44.89  A5  A
6  0.116  41.25  A6  A
7  0.116  45.45  A7  A
8  0.116  46.39  A8  A
9  0.116  44.76  A9  A
1  0.118  47.5  A1  A
2  0.118  45.74  A2  A
3  0.118  49.73  A3  A
4  0.118  47.88  A4  A
5  0.118  44.82  A5  A
6  0.118  41.37  A6  A
7  0.118  45.32  A7  A
8  0.118  46.25  A8  A
9  0.118  44.57  A9  A
1  0.12  47.22  A1  A
2  0.12  46.07  A2  A
3  0.12  49.51  A3  A
4  0.12  47.95  A4  A
5  0.12  45.22  A5  A
6  0.12  41.43  A6  A
7  0.12  44.99  A7  A
8  0.12  46.12  A8  A
9  0.12  44.25  A9  A
1  0.122  46.89  A1  A
2  0.122  46.27  A2  A
3  0.122  49.37  A3  A
4  0.122  47.6  A4  A
5  0.122  45.22  A5  A
6  0.122  41.19  A6  A
7  0.122  44.99  A7  A
8  0.122  46.05  A8  A
9  0.122  44.06  A9  A
1  0.124  46.89  A1  A
2  0.124  45.74  A2  A
3  0.124  49.3  A3  A
4  0.124  47.53  A4  A
5  0.124  44.95  A5  A
6  0.124  41.31  A6  A
7  0.124  45.39  A7  A
8  0.124  46.19  A8  A
9  0.124  43.8  A9  A
1  0.126  46.95  A1  A
2  0.126  45.15  A2  A
3  0.126  49.01  A3  A
4  0.126  47.32  A4  A
5  0.126  44.76  A5  A
6  0.126  41.06  A6  A
7  0.126  45.19  A7  A
8  0.126  46.25  A8  A
9  0.126  44.12  A9  A
1  0.128  46.89  A1  A
2  0.128  45.02  A2  A
3  0.128  48.8  A3  A
4  0.128  47.88  A4  A
5  0.128  44.63  A5  A
6  0.128  41.06  A6  A
7  0.128  45.06  A7  A
8  0.128  46.25  A8  A
9  0.128  43.87  A9  A
1  0.13  46.75  A1  A
2  0.13  44.82  A2  A
3  0.13  48.94  A3  A
4  0.13  47.95  A4  A
5  0.13  44.56  A5  A
6  0.13  40.7  A6  A
7  0.13  45.39  A7  A
8  0.13  46.19  A8  A
9  0.13  43.87  A9  A
1  0.132  46.75  A1  A
2  0.132  44.37  A2  A
3  0.132  48.73  A3  A
4  0.132  47.11  A4  A
5  0.132  44.82  A5  A
6  0.132  40.82  A6  A
7  0.132  45.32  A7  A
8  0.132  45.79  A8  A
9  0.132  43.68  A9  A
1  0.134  46.95  A1  A
2  0.134  44.12  A2  A
3  0.134  48.45  A3  A
4  0.134  47.04  A4  A
5  0.134  44.5  A5  A
6  0.134  40.82  A6  A
7  0.134  45.32  A7  A
8  0.134  45.92  A8  A
9  0.134  43.74  A9  A
1  0.136  46.62  A1  A
2  0.136  44.31  A2  A
3  0.136  48.38  A3  A
4  0.136  46.97  A4  A
5  0.136  44.76  A5  A
6  0.136  41  A6  A
7  0.136  44.99  A7  A
8  0.136  45.33  A8  A
9  0.136  44.06  A9  A
1  0.138  46.55  A1  A
2  0.138  44.37  A2  A
3  0.138  48.59  A3  A
4  0.138  46.97  A4  A
5  0.138  44.37  A5  A
6  0.138  41  A6  A
7  0.138  44.73  A7  A
8  0.138  45  A8  A
9  0.138  43.49  A9  A
1  0.14  46.75  A1  A
2  0.14  44.18  A2  A
3  0.14  48.52  A3  A
4  0.14  47.04  A4  A
5  0.14  44.43  A5  A
6  0.14  40.94  A6  A
7  0.14  44.73  A7  A
8  0.14  45  A8  A
9  0.14  43.62  A9  A
1  0.142  46.55  A1  A
2  0.142  44.63  A2  A
3  0.142  48.24  A3  A
4  0.142  46.84  A4  A
5  0.142  44.63  A5  A
6  0.142  40.7  A6  A
7  0.142  45.06  A7  A
8  0.142  44.87  A8  A
9  0.142  43.55  A9  A
1  0.144  46.48  A1  A
2  0.144  44.44  A2  A
3  0.144  48.52  A3  A
4  0.144  46.77  A4  A
5  0.144  44.3  A5  A
6  0.144  40.76  A6  A
7  0.144  45.32  A7  A
8  0.144  44.68  A8  A
9  0.144  43.49  A9  A
1  0.146  46.28  A1  A
2  0.146  44.37  A2  A
3  0.146  48.66  A3  A
4  0.146  46.43  A4  A
5  0.146  44.56  A5  A
6  0.146  40.76  A6  A
7  0.146  44.86  A7  A
8  0.146  44.68  A8  A
9  0.146  43.36  A9  A
1  0.148  46.28  A1  A
2  0.148  44.24  A2  A
3  0.148  48.38  A3  A
4  0.148  46.49  A4  A
5  0.148  44.3  A5  A
6  0.148  40.94  A6  A
7  0.148  45.19  A7  A
8  0.148  44.55  A8  A
9  0.148  43.43  A9  A
1  0.15  46.62  A1  A
2  0.15  44.18  A2  A
3  0.15  48.38  A3  A
4  0.15  46.43  A4  A
5  0.15  44.5  A5  A
6  0.15  40.82  A6  A
7  0.15  44.92  A7  A
8  0.15  44.74  A8  A
9  0.15  43.49  A9  A
1  0.152  46.48  A1  A
2  0.152  44.05  A2  A
3  0.152  47.89  A3  A
4  0.152  46.36  A4  A
5  0.152  44.56  A5  A
6  0.152  40.94  A6  A
7  0.152  44.73  A7  A
8  0.152  44.74  A8  A
9  0.152  43.24  A9  A
1  0.154  46.15  A1  A
2  0.154  44.44  A2  A
3  0.154  47.75  A3  A
4  0.154  46.29  A4  A
5  0.154  44.43  A5  A
6  0.154  40.7  A6  A
7  0.154  44.86  A7  A
8  0.154  44.42  A8  A
9  0.154  43.24  A9  A
1  0.156  46.35  A1  A
2  0.156  44.44  A2  A
3  0.156  47.96  A3  A
4  0.156  46.36  A4  A
5  0.156  44.76  A5  A
6  0.156  40.47  A6  A
7  0.156  44.34  A7  A
8  0.156  44.61  A8  A
9  0.156  43.3  A9  A
1  0.158  46.89  A1  A
2  0.158  44.24  A2  A
3  0.158  47.54  A3  A
4  0.158  46.63  A4  A
5  0.158  44.37  A5  A
6  0.158  40.64  A6  A
7  0.158  44.6  A7  A
8  0.158  45.07  A8  A
9  0.158  43.18  A9  A
1  0.16  46.55  A1  A
2  0.16  44.12  A2  A
3  0.16  47.75  A3  A
4  0.16  46.49  A4  A
5  0.16  44.37  A5  A
6  0.16  40.29  A6  A
7  0.16  44.92  A7  A
8  0.16  44.61  A8  A
9  0.16  43.05  A9  A
1  0.162  46.48  A1  A
2  0.162  44.05  A2  A
3  0.162  47.82  A3  A
4  0.162  46.22  A4  A
5  0.162  44.43  A5  A
6  0.162  40.59  A6  A
7  0.162  44.92  A7  A
8  0.162  44.55  A8  A
9  0.162  43.11  A9  A
1  0.164  46.48  A1  A
2  0.164  43.55  A2  A
3  0.164  48.17  A3  A
4  0.164  46.7  A4  A
5  0.164  44.17  A5  A
6  0.164  40.53  A6  A
7  0.164  44.79  A7  A
8  0.164  44.16  A8  A
9  0.164  43.62  A9  A
1  0.166  46.15  A1  A
2  0.166  43.36  A2  A
3  0.166  48.03  A3  A
4  0.166  46.22  A4  A
5  0.166  44.17  A5  A
6  0.166  40.35  A6  A
7  0.166  44.6  A7  A
8  0.166  44.48  A8  A
9  0.166  43.24  A9  A
1  0.168  46.42  A1  A
2  0.168  43.36  A2  A
3  0.168  47.82  A3  A
4  0.168  46.84  A4  A
5  0.168  44.17  A5  A
6  0.168  40.53  A6  A
7  0.168  44.4  A7  A
8  0.168  44.29  A8  A
9  0.168  43.36  A9  A
1  0.17  46.62  A1  A
2  0.17  43.23  A2  A
3  0.17  47.75  A3  A
4  0.17  46.77  A4  A
5  0.17  44.17  A5  A
6  0.17  40.47  A6  A
7  0.17  44.66  A7  A
8  0.17  44.29  A8  A
9  0.17  43.24  A9  A
1  0.172  46.09  A1  A
2  0.172  43.3  A2  A
3  0.172  47.75  A3  A
4  0.172  47.11  A4  A
5  0.172  44.24  A5  A
6  0.172  40.47  A6  A
7  0.172  44.86  A7  A
8  0.172  44.42  A8  A
9  0.172  43.68  A9  A
1  0.174  46.48  A1  A
2  0.174  43.11  A2  A
3  0.174  47.68  A3  A
4  0.174  47.04  A4  A
5  0.174  43.98  A5  A
6  0.174  40.47  A6  A
7  0.174  44.53  A7  A
8  0.174  44.36  A8  A
9  0.174  43.36  A9  A
1  0.176  46.09  A1  A
2  0.176  43.3  A2  A
3  0.176  47.68  A3  A
4  0.176  46.84  A4  A
5  0.176  44.04  A5  A
6  0.176  40.59  A6  A
7  0.176  44.73  A7  A
8  0.176  44.16  A8  A
9  0.176  43.55  A9  A
1  0.178  46.28  A1  A
2  0.178  43.3  A2  A
3  0.178  47.89  A3  A
4  0.178  46.29  A4  A
5  0.178  43.91  A5  A
6  0.178  40.41  A6  A
7  0.178  44.4  A7  A
8  0.178  44.1  A8  A
9  0.178  43.36  A9  A
1  0.18  46.28  A1  A
2  0.18  43.17  A2  A
3  0.18  47.96  A3  A
4  0.18  46.77  A4  A
5  0.18  44.04  A5  A
6  0.18  40.05  A6  A
7  0.18  44.6  A7  A
8  0.18  43.78  A8  A
9  0.18  43.36  A9  A
1  0.182  46.15  A1  A
2  0.182  43.61  A2  A
3  0.182  47.96  A3  A
4  0.182  46.7  A4  A
5  0.182  44.04  A5  A
6  0.182  40.29  A6  A
7  0.182  44.14  A7  A
8  0.182  43.97  A8  A
9  0.182  43.36  A9  A
1  0.184  46.62  A1  A
2  0.184  43.3  A2  A
3  0.184  47.47  A3  A
4  0.184  46.15  A4  A
5  0.184  43.79  A5  A
6  0.184  40.35  A6  A
7  0.184  44.34  A7  A
8  0.184  43.85  A8  A
9  0.184  43.24  A9  A
1  0.186  46.35  A1  A
2  0.186  43.42  A2  A
3  0.186  47.75  A3  A
4  0.186  46.29  A4  A
5  0.186  43.59  A5  A
6  0.186  40.17  A6  A
7  0.186  44.21  A7  A
8  0.186  43.59  A8  A
9  0.186  43.43  A9  A
1  0.188  46.15  A1  A
2  0.188  43.42  A2  A
3  0.188  47.47  A3  A
4  0.188  46.29  A4  A
5  0.188  43.66  A5  A
6  0.188  40.35  A6  A
7  0.188  44.21  A7  A
8  0.188  44.16  A8  A
9  0.188  43.49  A9  A
1  0.19  46.22  A1  A
2  0.19  43.11  A2  A
3  0.19  47.96  A3  A
4  0.19  46.22  A4  A
5  0.19  43.85  A5  A
6  0.19  40.35  A6  A
7  0.19  44.14  A7  A
8  0.19  44.04  A8  A
9  0.19  43.18  A9  A
1  0.192  46.22  A1  A
2  0.192  43.3  A2  A
3  0.192  47.75  A3  A
4  0.192  46.49  A4  A
5  0.192  43.79  A5  A
6  0.192  40.47  A6  A
7  0.192  44.21  A7  A
8  0.192  44.04  A8  A
9  0.192  43.18  A9  A
1  0.194  46.02  A1  A
2  0.194  43.17  A2  A
3  0.194  47.61  A3  A
4  0.194  46.56  A4  A
5  0.194  43.59  A5  A
6  0.194  40.41  A6  A
7  0.194  44.21  A7  A
8  0.194  43.97  A8  A
9  0.194  43.3  A9  A
1  0.196  46.42  A1  A
2  0.196  43.23  A2  A
3  0.196  47.41  A3  A
4  0.196  46.36  A4  A
5  0.196  43.59  A5  A
6  0.196  40.47  A6  A
7  0.196  43.88  A7  A
8  0.196  44.16  A8  A
9  0.196  43.43  A9  A
1  0.198  46.48  A1  A
2  0.198  43.23  A2  A
3  0.198  47.82  A3  A
4  0.198  46.97  A4  A
5  0.198  43.47  A5  A
6  0.198  40.59  A6  A
7  0.198  44.34  A7  A
8  0.198  44.1  A8  A
9  0.198  43.18  A9  A
1  0.2  46.15  A1  A
2  0.2  43.05  A2  A
3  0.2  47.89  A3  A
4  0.2  47.04  A4  A
5  0.2  43.59  A5  A
6  0.2  40.41  A6  A
7  0.2  44.14  A7  A
8  0.2  44.36  A8  A
9  0.2  43.43  A9  A
1  0.202  46.35  A1  A
2  0.202  43.3  A2  A
3  0.202  47.54  A3  A
4  0.202  46.9  A4  A
5  0.202  43.47  A5  A
6  0.202  40.35  A6  A
7  0.202  44.34  A7  A
8  0.202  44.1  A8  A
9  0.202  43.18  A9  A
1  0.204  46.22  A1  A
2  0.204  43.17  A2  A
3  0.204  47.47  A3  A
4  0.204  46.84  A4  A
5  0.204  43.91  A5  A
6  0.204  40.47  A6  A
7  0.204  44.27  A7  A
8  0.204  44.16  A8  A
9  0.204  43.3  A9  A
1  0.206  46.15  A1  A
2  0.206  42.92  A2  A
3  0.206  47.27  A3  A
4  0.206  46.56  A4  A
5  0.206  44.17  A5  A
